A la voz de aura,ranchera,Z0999915746,,
A la voz de Carlos Gardel,,Z0999990018,,
A la vuelta,tango,Z0999917181,Próspero Cimaglia,-
A las azoteas del fondo del mar,,T0371565217,Osvaldo Tarantino,Horacio Arturo Ferrer
A las cinco en La Giralda,tango,Z0999901972,,-
A las dos de la mañana,tango canción,Z0000817732,Edgardo Donato,Jerónimo Martinelli Massa
A las estrellas,tango,T0370593977,Armando Baliotti,-
A las ocho... ¡Tango Club!...,tango,T0372070091,Ángel Cicchetti,Roberto Vidal
A las siete en el café,tango,Z0000059596,Armando Baliotti,Santiago Luis D. Adamini
A Leopoldo Federico,tango,T0374418606,"Ana María Marzabal, Oscar Nicolás Fresedo","Ana María Marzabal, Oscar Nicolás Fresedo"
A linda,tango contemporaneo,T0429510326,Alejandro Fasanini,-
A lo de Augusta,tango,Z0999917995,,-
A lo gaucho,tango,Z0000025424,Benito R. Atella,
A lo gaucho,tango canción,Z0999990019,,
A lo lejos,vals,T0370085952,Adolfo Rafael Avilés,
A lo macho,,T0370969177,Roberto Flores,Francisco Fortunato Silva
A lo Magdalena,tango,T0373935444,Daniel Melingo,Luis Alposta
A lo Megata,tango,T0371829694,Edmundo Rivero,Luis Alposta
"A lo mejor, quién te dice?",tango,T0370191573,Domingo Manuel Varela Conte,Celedonio Flores
A lo moderno,,Z0000089369,Julián Plaza,-
A lo Pirincho,milonga,T0370890995,Francisco Federico,Haydeé Irene Cardón
A los amigos,tango,T0370163317,Armando Pontier,-
A los amigos bandoneonistas,tango,Z0999916290,"Roberto Pérez Prechi, Ernesto Baffa",-
"A los amigos, La vi llegar",tango,Z0999901139,,
A los árboles y las chimeneas,,Z0000197533,Astor Piazzolla,Horacio Arturo Ferrer
A los artistas plásticos,tango,T0371281478,Osvaldo Pugliese,-
A los bahienses,tango,Z0999918418,,
A los charruas,milonga oriental,Z0999990020,,
A los golpes,,T0370858868,"Luis César Amadori, Julio Porter",
A los míos,tango,T0372287325,Osvaldo José Montes,
A los míos,tango,Z0999990021,Armando Pontier,-
A los nuevos milongueros,,T0374273796,Julián Camilo Ferrero,
A los pájaros de Buenos Aires,,T0371210671,Alberto Soifer,Horacio Arturo Ferrer
A los payadores,vals criollo,Z0999914305,Gabriel Clausi,Mario Gomila
A los que se fueron,tango,T0373033169,Daniel José Binelli,
A los tríos milongueros,tango,T0372816620,Ismael Spitalnik,
A Luis Luchi,tango,T0374013269,Eduardo Rovira,-
A Luis Mariani,,T0371512865,Armando Pontier,-
A Magaldi,vals,T0370110590,"Carlos Dante, Pedro Noda",Juan Bernardo Tiggi
A Mancuso,tango,Z0999990022,Raúl Jaurena,-
A mano limpia,tango,Z0000525146,Pintín Castellanos,-
A manos brujas,tango,T0370969371,"Norberto Horacio Ramos, Pastor Cores",-
A Marambio Catán,tango,T0371461516,Eduardo Rovira,-
A María Rosa,tango,T0370316781,Francisco Federico,
A María Rosa,vals,T0371020313,Miguel Nijensohn,Jorge Moreira
A Mario Demarco,tango,Z0999919137,,
A Martín Fierro,tango,Z0000061317,Francisco Federico,-
A más de nueve mil metros de altura,canción,T0373658515,Daniel Claudio García,María José Demare
A media luz,tango,T0370001038,Edgardo Donato,Carlos César Lenzi
A media noche,tango,T0370110738,Juan Félix Maglio,Enrique Dizeo
A media pierna,candombe,Z0999990023,,
A medianoche,tango,Z0999990024,Juan Félix Maglio,
A Mercedes,vals,T0370212513,Hugo Gutiérrez,Venancio Clauso
A mi amigo le digo,tango,Z0000295658,,Héctor Negro
A mi barrio,tango,Z0001252718,Miguel Ángel Córdoba,Norma Montenegro
A mi calle,tango canción,Z0001090665,,Marta Pizzo
A mi china,,Z0999901984,Ignacio Corsini,
A mí dejame de cuentos,milonga,Z0999990025,Graciano Gómez,Domingo Eduardo Sciaraffia
A mí dejáme en mi barrio,tango,T0370186632,Francisco Amor,Francisco Amor
A mi esposa,tango,T9009760569,Luis Stazo,
A mi gaucha compañera,,T0372102641,,Abel Fontán
A mi hermano fueyero,tango,Z0001303771,Damián Torres,
A mi hijita,,Z0000146032,,
A mi hijo,tango,T0373860673,Emilio de la Peña,Ernesto Pierro
A mi hijo,tango,Z0999918568,,
A mi juego me han llamado,milonga,Z0999901671,Ricardo Luis Brignolo,Francisco Bautista Rímoli
A mi madre,tango,T0370001083,Luis Petrucelli,-
A mi madre,vals,T0370001094,Francisco Peña,Francisco Peña
A mi madre,estilo,T0370042800,"Carlos Gardel, José Razzano",Carlos Gardel
A mi madre,estilo,Z0999911783,"Carlos Gardel, José Razzano",Andrés Cepeda
A mi madre,canción,Z0999911972,"Carlos Gardel, José Razzano",
A mi madre,poema lunfardo,Z0999917428,,
A mi madre en su día,vals,Z0999990026,,
A mi madrecita,tango,T0370001118,Héctor Palacios,Héctor Palacios
A mí me copa el tango,tango,Z0000257851,,
A mí me dicen zorzal,canción,Z0999915460,Litto Nebbia,
A mí me gusta el sexo,,Z0000181870,"Luis César Amadori, Julio Porter",
A mí me gusta el sexo,,Z0000835295,"Luis César Amadori, Julio Porter",
"A mí me gusta, a usted?",tango,Z0999914694,"Miguel Caló, Orlando Tripodi",-
A mí me la contaron,,Z0999990027,Manuel Sucher,Julián Centeya
A mí me llaman Juan Tango,tango,Z0000064339,Tito Ribero,Carlos Waiss
A mí me llaman porteño,poema lunfardo,Z0999913588,,
A mí me llaman porteño,poema lunfardo,Z0999990028,,
A mi modo y con mi acento,,Z0002183882,,Antonio Bartrina
A mi morocha,estilo,T0370110829,"Carlos Gardel, José Razzano",Alberto Vacarezza
A mi mujer ¿qué le digo?,,T0370924201,,Carlos Lucero
A mi ñata Colette Darly,tango,Z0999990029,Domingo Greco,Domingo Greco
A mi nieto,tango,Z0999918449,Tito Ferrari,
A mí no me cambia nadie,milonga,T0370343706,Aurelio Tallarico,Maximo José Orsi
A mí no me den consejos,tango,Z0000024988,"Francisco Canaro, Luis Riccardi","Juan Andrés Caruso, Francisco Canaro"
A mí no me hablen de penas,tango,T0370165824,Enrique Cadícamo,Enrique Cadícamo
