Orquesta Aníbal Troilo con Alberto Marino,Aníbal Troilo,Alberto Marino
Orquesta Adolfo Carabelli con Carlos Lafuente,Adolfo Carabelli,Carlos Lafuente
Orquesta Osvaldo Fresedo con Oscar Serpa,Osvaldo Fresedo,Oscar Serpa
Orquesta Miguel Caló con Román Prince,Miguel Caló,Roman Prince
"Orquesta Juan Maglio ""Pacho"" con Fernando Díaz",Juan Félix Maglio,
Orquesta Típica Porteña Dir. Adolfo Carabelli,Orquesta Típica Porteña,
Orquesta Alfredo De Angelis con Julio Martel,Alfredo De Angelis,Julio Martel
Orquesta Francisco Canaro con Guillermo Rico y Alberto Arenas,Francisco Canaro,"Guillermo Rico, Alberto Arenas"
Orquesta Simbolo Osmar Maderna con Orlando Verri,"Orquesta Simbolo Osmar Maderna, dir. Aquiles Roggero",Orlando Verri
"Orquesta Juan Maglio ""Pacho"" con canto",Juan Félix Maglio,-
Orquesta Osvaldo Pugliese y The New Tango Sex-Tet Astor Piazzolla,"Astor Piazzolla, Osvaldo Pugliese",-
Orquesta Roberto Firpo con Héctor Villanueva,Roberto Firpo,Osvaldo Novarro
Orquesta Francisco Canaro con Agustín Irusta,Francisco Canaro,Agustín Irusta
Orquesta Francisco Canaro Ernesto Rondó,Francisco Canaro,Ernesto Rondó
Orquesta Típica Porteña Dir. Adolfo Carabelli con Roberto Díaz,Orquesta Típica Porteña,
Sexteto Carlos Di Sarli con Santiago Devincenzi,Carlos Di Sarli,Santiago Devin
Orquesta Aníbal Troilo con Elba Berón y Roberto Goyeneche,Aníbal Troilo,"Elba Berón, Roberto Goyeneche"
Orquesta Edgardo Donato con Carlos Almada,Edgardo Donato,Carlos Almada
Orquesta Francisco Rotundo con Floreal Ruiz,Francisco Rotundo,Floreal Ruíz
Orquesta Alfredo Gobbi con Ángel Díaz,Alfredo J. Gobbi,Ángel Díaz
Orquesta Edgardo Donato con Carlos Viván,Edgardo Donato,Carlos Viván
Orquesta Miguel Caló con Alberto Podestá,Miguel Caló,Alberto Podestá
The New Tango Sex-Tet Astor Piazzolla,Astor Piazzolla,-
Orquesta Francisco Canaro con Ernesto Famá y Ángel Ramos,Francisco Canaro,Ernesto Famá
Orquesta Alfredo Gobbi con Pablo Lozano,Alfredo J. Gobbi,Pablo Lozano
"Orquesta Juan Maglio ""Pacho"" con Nicolás Gianastasio",Juan Félix Maglio,-
Orquesta Francisco Canaro,Francisco Canaro,-
Orquesta Francini - Pontier con Mario Lagos,"Enrique Francini, Armando Pontier",Mario Lagos
Ranko Fujisawa con Aníbal Troilo y Roberto Grela,"Aníbal Troilo, Roberto Grela",Ranko Fujisawa
Orquesta Pedro Laurenz con Alberto Podestá,Pedro Laurenz,Alberto Podestá
Orquesta Francisco Canaro con Alberto Arenas y Enrique Lucero,Francisco Canaro,"Enrique Lucero, Alberto Arenas"
Orquesta Carlos Di Sarli con Roberto Florio y Jorge Durán,Carlos Di Sarli,"Jorge Durán, Roberto Florio"
Orquesta Osvaldo Pugliese con Miguel Montero,Osvaldo Pugliese,Miguel Montero
Orquesta Rodolfo Biagi con Carlos Acuña,Rodolfo Biagi,Carlos Acuña
Orquesta Carlos Di Sarli con Alberto Podestá,Carlos Di Sarli,Alberto Podestá
Orquesta Enrique Rodríguez con Ricardo Herrera y Fernando Reyes,Enrique Rodríguez,"Fernando Reyes, Ricardo Herrera"
Orquesta Francisco Lomuto con Lely Morel,Francisco Lomuto,Lely Morel
Orquesta Julio De Caro con Teófilo Ibáñez,Julio De Caro,Luis Díaz
Orquesta Francisco Rotundo con Alfredo Del Río,Francisco Rotundo,Alfredo del Río
Orquesta Osmar Maderna con Jorge Hidalgo,"Orquesta Simbolo Osmar Maderna, dir. Aquiles Roggero",Jorge Hidalgo
Sexteto Carlos Di Sarli con Ernesto Famá,Carlos Di Sarli,Ernesto Famá
Orquesta Osmar Maderna con Ruth Durante,"Orquesta Simbolo Osmar Maderna, dir. Aquiles Roggero",Ruth Durante
Orquesta Típica Porteña Dir. Adolfo Carabelli con Teófilo Ibáñez,Orquesta Típica Porteña,Teofilo Ibañez
Orquesta Típica Victor con Ortega Del Cerro,Orquesta Típica Víctor,Ortega del Cerro
Orquesta Alfredo Gobbi con Mario Beltrán,Alfredo J. Gobbi,Mario Beltrán
Orquesta Francisco Lomuto con Fernando Díaz,Francisco Lomuto,Fernando Díaz
Orquesta Osvaldo Pugliese con Jorge Maciel y Carlos Guido,Osvaldo Pugliese,"Jorge Maciel, Carlos Guido"
Orquesta Juan D'Arienzo con Francisco Fiorentino,Juan D'Arienzo,Francisco Fiorentino
Orquesta Aníbal Troilo con Francisco Fiorentino y Alberto Marino,Aníbal Troilo,"Francisco Fiorentino, Alberto Marino"
Orquesta Ricardo Tanturi con Roberto Videla y Osvaldo Ribó,Ricardo Tanturi,"Osvaldo Ribó, Roberto Videla"
Orquesta Carlos Di Sarli con Carlos Acuña,Carlos Di Sarli,Carlos Acuña
Orquesta Francisco Canaro con Luis Scalón,Francisco Canaro,Luis Scalón
Orquesta Rodolfo Biagi con Carlos Almagro,Rodolfo Biagi,Carlos Almagro
"Orquesta Francisco Canaro con Ernesto Famá, Francisco Amor y Blackie",Francisco Canaro,"Ernesto Famá, Francisco Amor"
Orquesta Adolfo Carabelli con Carlos Lafuente y Mercedes Simone,Adolfo Carabelli,"Carlos Lafuente, Mercedes Simone"
Orquesta Ricardo Tanturi con Carlos Ortega,Ricardo Tanturi,Carlos Ortega
Astor Piazzolla,Astor Piazzolla,-
Orquesta Francisco Lomuto con coro,Francisco Lomuto,"Fernando Díaz, -choir-"
Orquesta Francini - Pontier con Julio Sosa,"Enrique Francini, Armando Pontier",Julio Sosa
Quinteto Pirincho dir. Francisco Canaro,"Quinteto Pirincho, dir. Francisco Canaro",-
Orquesta Alfredo Gobbi con Carlos Almada,Alfredo J. Gobbi,Carlos Almada
Orquesta Miguel Caló con Juan Carlos Fabri,Miguel Caló,Juan Carlos Fabri
Orquesta Roberto Firpo con Carlos Varela y coro,Roberto Firpo,Carlos A. Varela
Orquesta Ángel D'Agostino,Ángel D'Agostino,-
Orquesta Lucio Demare con Roberto Arrieta,Lucio Demare,Roberto Arrieta
Sexteto Julio De Caro,Julio De Caro,-
Orquesta Francisco Canaro con Ernesto Famá y Francisco Canaro,Francisco Canaro,Ernesto Famá
Orquesta Típica Victor con Príncipe Azul,Orquesta Típica Víctor,Príncipe Azul
Orquesta Enrique Rodríguez con Roberto Videla,Enrique Rodríguez,Roberto Videla
Orquesta Julio de Caro,Julio De Caro,-
Orquesta Osvaldo Fresedo con Osvaldo Arana,Osvaldo Fresedo,Osvaldo Arana
Alberto Castillo y su orquesta dir. por Jorge Dragone,Jorge Dragone,Alberto Castillo
Orquesta Alfredo De Angelis con Lalo Martel,Alfredo De Angelis,Lalo Martel
Orquesta Alfredo Gobbi con Tito Landó y Alfredo Del Rio,Alfredo J. Gobbi,"Alfredo del Río, Tito Landó"
Orquesta Típica Porteña Dir. Adolfo Carabelli y otros con Pedro Moreno,Orquesta Típica Porteña,
Quinteto Pirincho dir. Francisco Canaro con Tita Merello,,Tita Merello
Sexteto Carlos Di Sarli con Mercedes Carné,Carlos Di Sarli,Mercedes Carné
Orquesta Francisco Canaro con Ernesto Famá y Mirna Mores,Francisco Canaro,"Ernesto Famá, Mirna Mores"
Osvaldo Fresedo y Juan Alberto Rodríguez,Osvaldo Fresedo,-
Orquesta Osvaldo Fresedo con Ernesto Famá,Osvaldo Fresedo,Ernesto Famá
Aníbal Troilo y Astor Piazzolla,"Aníbal Troilo, Astor Piazzolla",-
Orquesta Francisco Lomuto con Príncipe Azul,Francisco Lomuto,Príncipe Azul
Orquesta Miguel Caló con Luis Correa,Miguel Caló,Luis Correa
Orquesta Osmar Maderna con Horacio Caseres,"Orquesta Simbolo Osmar Maderna, dir. Aquiles Roggero",Horacio Casares
Orquesta Alfredo Gobbi,Alfredo J. Gobbi,-
Orquesta Francisco Lomuto con Alberto Rivera y Miguel Montero,Francisco Lomuto,"Alberto Rivera, Miguel Montero"
Orquesta Osmar Maderna con Jorge Duran,"Orquesta Simbolo Osmar Maderna, dir. Aquiles Roggero",Jorge Durán
Francisco Fiorentino y su orquesta típica dir. Astor Piazzolla con Francisco Fiorentino,Astor Piazzolla,Francisco Fiorentino
Orquesta Juan D'Arienzo,Juan D'Arienzo,-
Orquesta Francisco Canaro con Eduardo Adrián,Francisco Canaro,Eduardo Adrián
Orquesta Juan D'Arienzo con Jorge Valdéz y Héctor Millán,Juan D'Arienzo,Héctor Millán
Orquesta Típica Porteña Dir. Adolfo Carabelli y otros con M. Correa,Orquesta Típica Porteña,
Orquesta Rodolfo Biagi,Rodolfo Biagi,-
Orquesta Osvaldo Pugliese con Abel Córdoba,Osvaldo Pugliese,Abel Córdoba
Alberto Castillo y su orquesta dir. por Enrique Alessio,Enrique Carmelo Alessio,Alberto Castillo
Lucio Demare,Lucio Demare,-
Orquesta Típica Victor con Héctor Palacios,Orquesta Típica Víctor,Héctor Palacios
Orquesta Aníbal Troilo,Aníbal Troilo,-
Orquesta Pedro Laurenz con Carlos Bermúdez,Pedro Laurenz,Carlos Bermúdez
Orquesta Rodolfo Biagi con Hugo Duval y Carlos Heredia,Rodolfo Biagi,"Carlos Heredia, Hugo Duval"
Orquesta Héctor Varela con Rodolfo Lesica,Héctor Varela,Rodolfo Lesica
Orquesta Francisco Canaro con Ignacio Corsini,Francisco Canaro,Ignacio Corsini
Orquesta Edgardo Donato con Raúl Ángeló,Edgardo Donato,Raúl Angelo
Orquesta Típica Victor con Mariano Balcarce,Orquesta Típica Víctor,Mariano Balcarce
Orquesta Osvaldo Fresedo con Juan Carlos Thorry,Osvaldo Fresedo,Juan Carlos Thorry
Orquesta Alfredo De Angelis con Oscar Larroca,Alfredo De Angelis,Oscar Larroca
Orquesta Francini - Pontier con Roberto Florio,"Enrique Francini, Armando Pontier",Roberto Florio
Quinteto Pirincho dir. Francisco Canaro con Carlos Gardel,"Quinteto Pirincho, dir. Francisco Canaro",Carlos Gardel
Orquesta Típica Victor con Juan Carlos Delson,Orquesta Típica Víctor,Juan Carlos Delson
Orquesta Típica Victor con Carlos Lafuente,Orquesta Típica Víctor,Carlos Lafuente
Orquesta Osvaldo Fresedo con Roberto Ray,Osvaldo Fresedo,Roberto Ray
Orquesta Francisco Rotundo con Floreal Ruiz y Enrique Campos,Francisco Rotundo,"Enrique Campos, Floreal Ruíz"
Orquesta Francisco Canaro con Isabel De Grana,Francisco Canaro,Isabel De Grana
Orquesta Alfredo Gobbi con Alfredo Del Rio,Alfredo J. Gobbi,Alfredo del Río
Orquesta Osmar Maderna con Tito Davila,"Orquesta Simbolo Osmar Maderna, dir. Aquiles Roggero",
Orquesta Héctor Varela con Fontán Reyes,Héctor Varela,Jorge Fontán Reyes
"Orquesta Francisco Canaro con Charlo, Ada Falcón y coro",Francisco Canaro,"Ada Falcón, Charlo, -choir-"
Orquesta Francisco Canaro con Guillermo Rico,Francisco Canaro,Guillermo Rico
Miguel Villasboas y su Quinteto Bravo Del 900 con Julian Miro,Miguel Villasboas,
Alberto Castillo y su orquesta dir. por Ángel Condercuri,Ángel F. Condercuri,Alberto Castillo
Orquesta Horacio Salgán,Horacio Salgán,-
Orquesta Miguel Cálo con Raúl Berón,Miguel Caló,Raúl Berón
Orquesta Roberto Firpo con canto,Roberto Firpo,-
Orquesta Edgardo Donato con Jorge Denis,Edgardo Donato,Jorge Denis
Orquesta Típica Victor con Luis Díaz,Orquesta Típica Víctor,Luis Díaz
Orquesta Enrique Rodríguez con Omar Quirós y Oscar Galán,Enrique Rodríguez,"Omar Quiroz, Oscar Galán"
