"La Chicana ; Dolores Solá, Liliana Herrero",,-unspecified female-
Trio Victor ; Instrumental,Trío Victor,-
Orquesta Típica Brunswick ; Carlos Viván,Orquesta Típica Brunswick,Carlos Viván
"Edgardo Donato ; Alberto Podesta, Carlos Almada",Edgardo Donato,"Alberto Podestá, Carlos Almada"
"Eduardo Bianco, Bachicha ; Pettorossi","Eduardo Bianco, Bachicha","Eduardo Bianco, Juan Raggi"
Bajofondo Tango Club ; Elvis Costello,,
Orquesta Típica Porteña ; Roberto Díaz,Orquesta Típica Porteña,Roberto Díaz
Unknown ; Libertad Lamarque,,Libertad Lamarque
"Edgardo Donato ; Lita Morales, Horacio Lagos, Romeo Gavioli",Edgardo Donato,"Horacio Lagos, Romeo Gavioli"
Unknown ; Lili Boniche,,
Romeo Gavioli ; Romeo Gavioli,Romeo Gavioli,Romeo Gavioli
Feliciano Brunelli ; Roberto Morales,Feliciano Brunelli,Roberto Morales
Rafael Canaro ; Aldo Campoamor,Rafael Canaro,Aldo Campoamor
Charlo ; Instrumental,Jorge Arduh,
Francisco Canaro ; Agustin Irusta,Francisco Canaro,Agustín Irusta
Juan Félix Maglio ; Carlos Viván,Juan Félix Maglio,
Miguel Caló ; Raúl Berón,Miguel Caló,Raúl Berón
Enrique Rodriguez ; Instrumental,Enrique Rodríguez,-
Mario Melfi ; Instrumental,Mario Melfi,-
Ricardo Tanturi ; Roberto Videla,Ricardo Tanturi,Roberto Videla
Armando Lacava ; Ángel Vargas,Armando Lacava,Ángel Vargas
Osváldo Berlingieri ; Roberto Goyeneche,,Roberto Goyeneche
Osvaldo Fresedo ; Osvaldo Cordo,Osvaldo Fresedo,Osvaldo Cordó
Alfredo Gobbi ; Héctor Maciel,Alfredo J. Gobbi,Héctor Maciel
Eduardo Pereyra ; Instrumental,Eduardo Pereyra,-
Orquesta Típica Víctor ; Alberto Gómez,Orquesta Típica Víctor,Alberto Gómez
Brodman-Alfaro ; Unknown,Orquesta Típica Brodman-Alfaro,-unspecified male-
Orquesta Típica Víctor ; Charlo,Orquesta Típica Víctor,Charlo
Aníbal Troilo ; Edmundo Rivero,Aníbal Troilo,Edmundo Rivero
Rafael Rossi ; Instrumental,Rafael Rossi,-
Rodolfo Biagi ; Alberto Lago,Rodolfo Biagi,Alberto Lago
Joaquin Do Reyes ; Enrique Lucero,Joaquín Do Reyes,
Eduardo Du Perron ; Instrumental,,-
Unknown ; Sofia Bozan,Enrique Delfino,Sofia Bozán
Orquesta Tipica Brunswick ; Antonio Rodriguez Lesende,Orquesta Típica Brunswick,Antonio Rodriguez Lesende
Ángel D'Agostino ; Instrumental,Ángel D'Agostino,-
"Orquesta Ases Del Tango ; Hector Beltran, Roberto Solar",,"Héctor Beltrán, Roberto Solar"
"Eduardo Del Piano ; Hector De Rosas, Mario Bustos",Eduardo Del Piano,"Héctor De Rosas, Mario Bustos"
Manuel Pizarro ; Unknown,Manuel Pizarro,-
Osváldo Pugliese ; José Ángel Trelles,Osvaldo Pugliese,José Ángel Trelles
Mario Melfi ; Bruno Clair,Mario Melfi,
La Chicana ; Instrumental,,-
Brodman-Alfaro ; Instrumental,Orquesta Típica Brodman-Alfaro,-
Juan D'Arienzo ; Héctor Mauré,Juan D'Arienzo,Héctor Mauré
Bernardo Alemany ; Unknown,Bernardo Alemany,-unspecified male-
Bailongo! ; Unknown,,"-unspecified female-, -unspecified male-"
Orquesta Escuela De Tango ; Noelia Moncada,Orquesta Escuela de tango,
Orquesta Típica Imperial ; Omar Garré,Orquesta Típica Imperial,
Julio Arregui ; Luis Suarez,,
Ultratango ; Leo Satragno,,-unspecified male-
Donato Racciatti ; Elsa Moran,Donato Racciatti,Elsa Morán
Oscar Aleman,Oscar Aleman,
Ricardo Pedevilla ; Hugo Del Valle,Ricardo Pedevilla,Hugo Del Valle
Adalbert Lutter ; Instrumental,Adalbert Lutter,-
Francisco Rotundo ; Ricardo Argentino,Francisco Rotundo,Ricardo Argentino
Osvaldo Fresedo ; Ricardo Ruiz,Osvaldo Fresedo,Ricardo Ruiz
Gotan Project ; Veronika Silva,Gotan Project,
Juan Felix Maglio ; Nicolas Gianastasio,Juan Félix Maglio,Nicolás Gianastasio
Jose Basso ; Floreal Ruíz,José Basso,Floreal Ruíz
Catulo Castillo ; Instrumental,,
"Aguilar, Barbieri, Riverol ; Ada Falcon","Ángel Domingo Riverol, Guillermo Barbieri, José María Aguilar",Adhelma Falcon
"Orquesta Tipica Victor ; Juan Carlos Delson, Roberto Diaz",Orquesta Típica Víctor,"Juan Carlos Delson, Roberto Díaz"
"Francisco Canaro ; Mario Alonso, Alberto Arenas",Francisco Canaro,"Mario Alonso, Alberto Arenas"
Osvaldo Pugliese ; Jorge Maciel,Osvaldo Pugliese,Jorge Maciel
Ricardo Luis Brignolo ; Luis Diaz,Ricardo Luis Brignolo,
Miguel Caló ; Instrumental,Miguel Caló,-
Federico Mizrahi ; Fernando Rabih,,
Orquesta Típica Víctor ; José Bohr,Orquesta Típica Víctor,"José Bohr, -unspecified female-"
Edgardo Donato ; Hugo Del Carril,Edgardo Donato,"Randona, Hugo del Carril"
Julio Arregui ; Instrumental,,
Carlos Di Sarli ; Alberto Podesta,Carlos Di Sarli,Alberto Podestá
Bajofondo Tango Club ; Unknown,,-unspecified female-
Trio Los Nativos ; Instrumental,,-
Bachicha ; Teresa Asprella,Bachicha,Teresita Asprella
Tity Quentin ; Unknown,,
Mariano Mores ; Carlos Acuña,Mariano Mores,Carlos Acuña
Roberto Calo ; Instrumental,Roberto Caló,
Joaquin Do Reyes ; Ruben Llaneza,Joaquín Do Reyes,
Emilio Balcarce ; Alberto Marino,Emilio Balcarce,Alberto Marino
Cuarteto Del 900 ;  Instrumental,,-
"Alfredo De Angelis ; Carlos Dante, Julio Martel",Alfredo De Angelis,"Carlos Dante, Julio Martel"
Juan D'Arienzo ; Instrumental,Juan D'Arienzo,-
Osváldo Pugliese ; Eduardo Espinoza,Osvaldo Pugliese,Eduardo Espinoza
Auguste Jean Pesenti ; Marcel Nino,A. J. Pesenti,
Ruben Sosa ; Instrumental,Rubén Sosa,-
Armando Pontier ; Julio Sosa,,Julio Sosa
Tito Martin ; Instrumental,Tito Martín,-
Juan Carlos Cobian ; Genaro Veiga,Juan Carlos Cobián,Genaro Veiga
Carlos Marcucci ; Carlos Lafuente,Carlos Marcucci,Carlos Lafuente
Alfredo Attadia ; Enzo Valentino,Alfredo Attadía,Enzo Valentino
Julio De Caro ; Hector Farrel,Julio De Caro,Héctor Farrel
Antonio Rodio ; Mario Corrales,Antonio Rodio,Mario Pomar
Osvaldo Fresedo ; Roberto Ray,Osvaldo Fresedo,Roberto Ray
Adolfo Carabelli ; Charlo,Adolfo Carabelli,Carlos Lafuente
Trio Argentino (Irusta-Fugazot-Demare) ; Agustin Irusta,Trío Argentino,
Enrique Mora ; German Darrien,Enrique Mora,
Orquesta Tipica Popular ; Pedro Lauga,Orquesta Victor popular,Pedro Lauga
Orquesta Tipica Victor ; Mario Corrales,Orquesta Típica Víctor,Mario Pomar
"Miguel Caló ; Luis Tolosa, Raúl Iriarte",Miguel Caló,"Luis Tolosa, Raúl Iriarte"
Roberto Zerrillo ; Instrumental,Roberto Zerrillo,
Enrique Lomuto ; Instrumental,Enrique Lomuto,
Edgardo Donato ; Agustin Magaldi,Edgardo Donato,Agustín Magaldi
"Francisco Lomuto ; Alberto Hilarion Acuña, Fernando Diaz",Francisco Lomuto,"Alberto Hilarion Acuña, Fernando Díaz"
Unknown ; Seyyan Hanim,,Seyyan Hanim
Conjunto Estudiantes De Derecho ; Instrumental,,
Azucena Maizani ; Azucena Maizani,-unspecified guitars-,Azucena Maizani
Orquestra Típica Argentina Porteños ; Agustín Duarte,,-unspecified male-
Salvador Pizarro ; Juan Raggi,Salvador Pizarro,Juan Raggi
"Bachicha ; Emilia Garcia, Juan Raggi",Bachicha,"Emilia García, Juan Raggi"
"Domingo Federico, Atilio Stampone ; Antonio Rodriguez Lesende","Domingo Federico, Atilio Stampone",Antonio Rodriguez Lesende
Anibal Troilo ; Instrumental,Aníbal Troilo,
Tano Genaro ; F. Merel,Genaro Esposito,
Juan De Dios Filiberto ; Jorge Alonso,Juan de Dios Filiberto,-
Osváldo Fresedo ; Osváldo Fresedo,,Osvaldo Fresedo
Joaquin Do Reyes ; Hugo Soler,Joaquín Do Reyes,Hugo Soler
Rafael Canaro ; Carlos Dante,Rafael Canaro,Carlos Dante
Enrique Santos Discepolo ; Instrumental,Enrique Discépolo,-
Unknown ; Roberto Flores,,Roberto Flores
Carlos Demaria ; Instrumental,Carlos Demaria,-
Francisco Rotundo ; Julio Sosa,Francisco Rotundo,Julio Sosa
Rubén Juárez ; Unknown,,Rubén Juárez
Carlos Di Sarli ; Antonio Rodriguez Lesende,Carlos Di Sarli,Antonio Rodriguez Lesende
Trio Argentino (Irusta-Fugazot-Demare) ; Instrumental,Trío Argentino,-
Lucio Demare ; Agustin Irusta,Lucio Demare,Agustín Irusta
Gotan Project,Gotan Project,-unspecified female-
Juan Carlos Cobian ; Jorge Cardozo,Juan Carlos Cobián,Jorge Cardozo
"Enrique ""Minotto"" Di Cico ; Jorge Omar",Minotti Di Cicco,Jorge Omar
Francisco Spaventa ; Francisco Spaventa,,Francisco Spaventa
Ricardo Malerba ; Instrumental,Ricardo Malerba,-
"Francisco Lomuto ; Alberto Hilarion Acuña, Fernando Díaz",Francisco Lomuto,"Alberto Hilarion Acuña, Fernando Díaz"
Carlos Di Sarli ; Fernando Diaz,Carlos Di Sarli,Fernando Díaz
Francisco Canaro ; Tita Merello,Francisco Canaro,Tita Merello
Edgardo Donato ; Luis Diaz,Edgardo Donato,Luis Díaz
Luis Caruso ; Julio Sosa,Luis Caruso,Julio Sosa
Mariano Mores ; Nestor Fabian,Mariano Mores,Néstor Fabián
Domingo Federico ; Instrumental,Domingo Federico,-
Adolfo Carabelli ; Luis Diaz,Adolfo Carabelli,Luis Díaz
Genaro Veiga ; Oscar Fresedo,Genaro Veiga,
Mariano Mores ; Susy Leiva,Mariano Mores,Susy Leiva
"Eduardo Bianco, Bachicha ; Instrumental","Eduardo Bianco, Bachicha",-
Duo Marcucci-Grupillo ; Instrumental,"Carlos Marcucci, Salvador Grupillo",
Tango Crash ; Instrumental,,
Ricardo Luis Brignolo ; Teofilo Ibañez,Ricardo Luis Brignolo,
"Felix Laurenz, Pedro Casella ; Carlos Barbe",,Carlos Barbé
Ricardo Luis Brignolo ; Instrumental,Ricardo Luis Brignolo,-
Rafael Canaro ; Alberto Tagle,Rafael Canaro,Alberto Tagle
Daniel Melingo ; Instrumental,Daniel Melingo,-
"Orquestra Típica Argentina Porteños ; Agustín Duarte, Luis Esteban Mandarino",,"-unspecified male-, -unspecified male-"
