Interprete,Album,Track,Tema
DEL PIANO EDUARDO,DEL BUENOS AIRES DE AYER,6,A LOS MUCHACHOS
"DEL PIANO, EDUARDO","DEL PIANO, EDUARDO (1951/1980)",22,A LOS MUCHACHOS
CANARO FRANSISCO,FRANSISCO CANARO.INTRUMENTALES DE COLECCION,19,A MANO LIMPIA
FEDERICO DOMINGO,LOS MEJORES INSTRUMENTALES,8,A MARIA ROSA
CALO MIGUEL,MIGUEL CALO.RECORDANDO VIEJOS TEMAS,3,A MARTIN FIERRO
"CALO, MIGUEL",CUANDO TALLAN LOS RECUERDOS 1943,8,A MARTIN FIERRO
"FEDERICO, DOMINGO",YUYO VERDE (1944/1948),7,A MARTIN FIERRO
DEL CARRIL HUGO,TANGOS FAMOSOS,12,A MEDIA LUZ
"VALENTINO, ENZO",EN EL OLVIDO,17,A MEDIA LUZ
BASSO JOSE,JOSE BASSO.CANTAN FIORENTINO,3,A MEDIA LUZ
CALÓ MIGUEL,COL 5006,16,A MEDIA LUZ
CANARO FRANSISCO,FRANSISCO CANARO.TE ACORDAS HERMANO?,4,A MEDIA LUZ
CASTIILLO ALBERTO,ALBERTO CASTILLO.DE MI BARRIO,14,A MEDIA LUZ
DE ANGELIS ALFREDO,PARA USTEDES...,22,A MEDIA LUZ
FRANCINI-PONTIER,GRAN ENCUENTRO,8,A MEDIA LUZ
GOBBI ALFREDO,VOLUMEN 3,13,A MEDIA LUZ
RACCIATTI DONATO,TU CORAZON,9,A MEDIA LUZ
RODRIGUEZ ENRIQUE,ESTO ES PURO COMPAS,10,A MEDIA LUZ
SALAMANCA FULVIO,TODO CORAZON,10,A MEDIA LUZ
"SALAMANCA, FULVIO",TODO CORAZON (1964/1967),10,A MEDIA LUZ
TROILO ANÍBAL CUARTETO,COL 5004,13,A MEDIA LUZ
VARELA HECTOR,GRANDES EXITOS,13,A MEDIA LUZ
"D ARIENZO, JUAN",COLECC. 78 RPM 1941-1944,16,A MERCEDES
LAURENZ PEDRO,VOLUMEN 2,6,A MI DEJAME EN MI BARRIO
LAURENZ PEDRO,FIRULETEAR...,21,A MI DEJAME EN MI BARRIO
FRANCINI--PONTIER,FRANCINI--PONTIER 78 RPM 1946/1949,20,A MI MADRE
FRANCINI-PONTIER,VOLUMEN 2,18,A MI MADRE
MORA ENRIQUE CUARTETO,EL CATEDRATICO,5,A MI MADRE
RUFINO ROBERTO,VARIAS ORQUESTAS,8,A MI MADRE
SAN ROMAN SIRO,CADA VEZ QUE...,19,A MI MANERA
CALO MIGUEL,MIGUEL CALO.RECORDANDO VIEJOS TEMAS,1,A MI ME LLAMAN JUAN TANGO
CALO MIGUEL,RECORDANDO EXITOS,4,A MI ME LLAMAN JUAN TANGO
DI SARLI CARLOS,MILONGA DEL SENTIMIENTO,26,A MI ME LLAMAN JUAN TANGO
"DI SARLI, CARLOS",DI SARLI- RUFINO--PODESTA VOL. 3,1,A MI ME LLAMAN JUAN TANGO
CANARO FRANCISCO,CUARTITO AZUL,23,A MI NO ME HABLEN DE PENAS
TROILO ANIBAL,VOLUMEN 16,24,A MI NO ME HABLEN DE TANGO
BIAGI RODOLFO,PURA CLASE,25,A MI NO ME INTERESA
"DE ANGELIS, ALFREDO",CANTAN C. DANTE Y O. LARROCA,3,A MI PADRE
ORQUESTA,ASI CANTA HORACIO PALMA,28,A MI PADRE
MARTIN REYNALDO,AQUEL ALEMANCITO,18,A MI PAIS
STAZO LUIS,LOS 14 DE JULIO DE CARO,8,A MI VIOLIN CORNETA
FRANCINI-PONTIER,VOLUMEN 4,9,A MIS AMORES
FRANCINI-PONTIER,INSTRUMENTAL-1,16,A MIS AMORES
FRANCINI-PONTIER,INSTRUMENTAL-1,16,A MIS AMORES
FRANCINI-PONTIER,INSTRUMENTAL-1,16,A MIS AMORES
PUGLIESE OSVALDO,INSTRUMENTALES-1,7,A MIS COMPAÑEROS
PUGLIESE OSVALDO,LOS MEJORES INSTRUMENTALES,14,A MIS COMPAÑEROS
"PUGLIESE, OSVALDO",INSTRUMENTALES INLVIDABLES VOL. 2,5,A MIS COMPAÑEROS
DEL RIO ALFREDO,COL 5013,3,A MIS MANOS
DEL RIO ALFREDO,COL 5013,3,A MIS MANOS
DEL RIO ALFREDO,COL 5013,3,A MIS MANOS
DEL RIO ALFREDO,COL 5013,3,A MIS MANOS
DEL RIO ALFREDO,COL 5013,3,A MIS MANOS
GOBBI ALFREDO,VOLUMEN 3,9,A MIS MANOS
BASSO JOSE,VOLUMEN 2,5,A MIS PAGOS VOY
TROILO ANIBAL,VOLUMEN 17,6,A MIS VIEJOS
CANARO RAFAEL,VIEJO GAUCHO,5,A MONTMARTRE
"PETRUCELLI, LUIS","PETRUCELLI, LUIS (1928/1931)",9,A MONTMARTRE
