Interprete,Album,Track,Tema
MORA ENRIQUE CUARTETO,EL CATEDRATICO,13,PABELLON DE LAS ROSAS
"TROILO , ANIBAL",INSTRUMENTAL 1941--1944,14,PABLO
FIRPO ROBERTO,FIRPO-CANARO,1,PABLO
TROILO ANIBAL,VOLUMEN 4,2,PABLO
TROILO ANIBAL,AIETA-MARTINEZ,14,PABLO
TROILO ANÍBAL,DAN 4005,8,PABLO
TROILO ANIBAL,LOS MEJORES INSTRUMENTALES,1,PABLO
TROILO ANIBAL CUARTETO,VOLUMEN 21,9,PABLO
"TROILO, ANIBAL",SUR VOL. 05,10,PABLO
"DARIENZO, JUAN",PURO TANGO,2,PACIENCIA
ALONSO OSCAR,EN CARNE PROPIA,13,PACIENCIA
CANARO FRANSISCO,FRANSISCO CANARO.ROBERTO MAIDA CANTA SUS EXITOS,13,PACIENCIA
CANARO RAFAEL,VIEJO GAUCHO,19,PACIENCIA
"CANARO, FRANCISCO","LA MELODIA DE NUESTRO ADIOS,1938",3,PACIENCIA
DARIENZO JUAN,YO ME PRESENTO AQUI,9,PACIENCIA
PALACIOS HÉCTOR,COL 5007,7,PACIENCIA
"VARELA, HECTOR",NOCHES DE CABARET,4,PACIENCIA
"MONTERO, MIGUEL",SUS PRIMERAS GRABACIONES,7,PACIENCIA SERA OTRA VEZ
MIRANDA NINA,POR LA VUELTA,2,PADRE NUESTRO
PACHECO HECTOR Y SU ORQUESTA,TANGOS ROMANTICOS,15,PADRE NUESTRO
TRIO VICTOR,CONJUNTOS DEL SELLO VICTOR,2,PAGINA GRIS
"VIDAL, JORGE",CONFIDENCIAS,18,PAGINAS INTIMAS
"FRESEDO, OSVALDO",APASIONADO,12,PAISAJE
LAURENZ PEDRO,PATRIA MIA,4,PAISAJE
LAURENZ PEDRO,VOLUMEN 2,13,PAISAJE
LAURENZ PEDRO,DAN 404,17,PAISAJE
"LAURENZ, PEDRO",CREACIONES INOLVIDABLES CON PODESTA Y BERMUDEZ,10,PAISAJE
"OCAMPO, CARLOS MONTBRUN",PARA CUYO,3,PAISAJE DE CATAMARCA
ORQUESTA TIPICA VICTOR,COLECCION 78 RPM 1929 - 1944,3,PAJA BRAVA
BALCARCE EMILIO,YO SOY MILONGA,11,PAJARITO
CASTILLO ALBERTO,ALBERTO CASTILLO.SUS PRIMEROS EXITOS VOL 1,5,PAJARITO
CLAUSI GABRIEL,COL 5019,7,PAJARITO VIAJERO
CLAUSI GABRIEL,COL 5019,7,PAJARITO VIAJERO
CLAUSI GABRIEL,COL 5019,7,PAJARITO VIAJERO
MADERNA OSMAR,VOLUMEN 1,12,PAJARITO VIAJERO
"MADERNA, OSMAR","MADERNA, OSMAR VOL. 01 (1946/1947)",12,PAJARITO VIAJERO
BASSO JOSE,JOSE BASSO.SUS EXITOS CON FLOREAL RUIZ,10,PAJARO AZUL
BASSO JOSE,LOS MEJORES INSTRUMENTALES,12,PAJARO AZUL
CANARO FRANCISCO,LOS MEJORES INSTRUMENTALES,20,PAJARO AZUL
CANARO FRANSISCO,FRANSISCO CANARO.INSTRUMENTALES PARA BAILAR,20,PAJARO AZUL
BIAGI RODOLFO,PINTA ORILLERA,15,PAJARO CIEGO
CANARO FRANCISCO,CUARTITO AZUL,14,PAJARO CIEGO
CANARO FRANCISCO,LA ROMPEDORA,5,PAJARO CIEGO
CANARO FRANSISCO,FRANSISCO CANARO.SUS EXITOS CON ERNESTO FAMA,3,PAJARO CIEGO
TROILO ANIBAL,VOLUMEN 1,10,PAJARO CIEGO
BIAGI RODOLFO,PICANTE,2,PAJARO HERIDO
CANARO FRANCISCO,LOS MEJORES INSTRUMENTALES,13,PAJARO SILVESTRE
"D ARIENZO, JUAN",ANDANZAS 1944/1948,4,PAJARO SIN LUZ
SASSONE FLORINDO,TOMAS RADIALES Y DE TV,15,PAL. ROBERTO MIRO-FRANCISCO MARZAN
-----------,EL TANGO EN LA TEVE. Y LA RADIO,13,PALABRAS DE JULIO JORGE NELSON
CALÓ MIGUEL,COL 5003,11,PALABRAS DE MIGUEL CALÓ
PUGLIESE OSVALDO,VIVO TEATRO COLON,18,PALABRAS DE OSVALDO PUGLIESE
PUGLIESE OSVALDO,COL 5021,14,PALABRAS DE OSVALDO PUGLIESE
PUGLIESE OSVALDO,COL 5021,14,PALABRAS DE OSVALDO PUGLIESE
PUGLIESE OSVALDO,COL 5021,14,PALABRAS DE OSVALDO PUGLIESE
BIAGI RODOLFO,ESTRELLA,21,PALERMO
CARLOS GARDEL,GARDEL-DE ANGELIS,5,PALERMO
TROILO ANIBAL,VOLUMEN 22,2,PALERMO EN OCTUBRE
TAGINI VANINA,OTRO CANTAR,3,PALERMO VIEJO
"RODIO, ANTONIO","RODIO, ANTONIO 1943/1944",15,PALOMA PALOMA
MAURÉ HÉCTOR,COL 5010,20,PALOMA
ORQUESTA TIPICA VICTOR,SUS PRIMERAS GRABACIONES,15,PALOMITA
AIETA ANSELMO QUINTETO,DOS ESTILOS EN BANDONEON,12,PALOMITA BLANCA
ANIBAL TROILO-ROBERTO GRELA,TROILO-GRELA,2,PALOMITA BLANCA
BALIOTTI ARMANDO SEXTETO,BALIOTTI-KAPLUN,5,PALOMITA BLANCA
DIAZ HUGO,TANGOS EN ARMONICA,11,PALOMITA BLANCA
FILIBERTO JUAN DE DIOS,AIETA-MARTINEZ,8,PALOMITA BLANCA
TROILO ANÍBAL,DAN 404,15,PALOMITA BLANCA
TROILO ANIBAL,VALSES,22,PALOMITA BLANCA
TROILO ANIBAL-GRELA ROBERTO,SELLOS TK Y RCA,3,PALOMITA BLANCA
TROILO ANIBAL-GRELA ROBERTO,VOLUMEN 14,2,PALOMITA BLANCA
"TROILO, ANIBAL",VOLUMEN 5,9,PALOMITA BLANCA
"TANTURI, RICARDO",UNA EMOCIÓN,4,PALOMITA MIA
DEMARE LUCIO,VOLUMEN 2,18,PALOMITA MIA
"DEMARE, LUCIO",COMO SE HACE UN TANGO 1943,16,PALOMITA MIA
VIDAL JORGE,POEMAS Y GLOSAS,20,PALPITANDO EL ESCOLASO
CANARO FRANCISCO,ALMA PORTEÑA,20,PAMENTOS DE BANDONEON
AIETA ANSELMO QUINTETO,DOS ESTILOS EN BANDONEON,2,PAMPA
AIETA ANSELMO Y SU QUINTETO,LOS MEJORES INSTRUMENTALES,12,PAMPA
"CANARO, FRANCISCO",LA MELODIA DE NUESTRO ADIOS 1938,5,PAMPA
"D ARIENZO, JUAN",ATANICHE,28,PAMPA
"D ARIENZO, JUAN",VIENTO SUR,4,PAMPA
"D ARIENZO, JUAN",LOS MEJORES INSTRUMENTALES 50/55,17,PAMPA
DARIENZO JUAN,DOS MAESTROS...,14,PAMPA
"DARIENZO, JUAN",META FIERRO--YUNTA BRAVA,12,PAMPA
DEMARIA CARLOS,BRINDIS DE TANGO,7,PAMPA
ORQUESTA TIPICA PORTEÑA,CONJUNTOS DEL SELLO VICTOR,14,PAMPA
"D ARIENZO, JUAN",ANDANZAS 1944/1948,18,PAMPA Y HUELLA
DARIENZO JUAN,MILONGUEANDO...,14,PAMPEANA
"FRESEDO, OSVALDO",NOSTALGIA,6,PAMPERO
"DURAN, JORGE",DURAN -- REYES,11,PAN
DEMARCO MARIO,SIN TACHA,8,PAN
GOYENECHE ROBERTO,PRIMERAS GRABACIONES,5,PAN
"SALGAN, HORACIO",SILBANDO,2,PAN
"VIDAL, JORGE",CONFIDENCIAS,17,PAN COMIDO
"D ARIENZO, JUAN",TANGOS ORILLEROS,11,PAPA
TROILO ANIBAL,VOLUMEN 2,4,PAPA BALTASAR
JORGE MACIEL,VOLUMEN 1,20,PAPA GALLEGO
DONATO EDGARDO,CHIQUE,11,PAPAS CALIENTES
PEREZ ADOLFO POCHOLO,AROLAS EDUARDO,16,PAPAS CALIENTES
PONTIER ARMANDO,LOS MEJORES INSTRUMENTALES,6,PAPAS CALIENTES
"SASSONE, FLORINDO",BIEN MILONGUERO VOL. 1,9,PAPAS CALIENTES
"CANARO, FRANCISCO",ADIOS JUVENTUD 1933,14,PAPEL PICADO
CALDARA JORGE,TANGO ENTRE AMIGOS,6,PAPILINO
CANARO FRANCISCO,ALMA PORTEÑA,25,PAPIRUSA
"PUGLIESE, OSVALDO",INSTRUMENTALES INOLVIDABLES VOL. 2,7,PARA DOS
PUGLIESE OSVALDO,LOS MEJORES INSTRUMENTALES,3,PARA DOS
"CALO, MIGUEL","CALO, MIGUEL Y LAS ESTRELLAS",11,"PARA EL RECUERDO (A, FIORE)"
PONTIER ARMANDO,LOS MEJORES INSTRUMENTALES,18,PARA EL RECUERDO (A FIORE)
FIGARI CARLOS,FIGARI-DO REYES,13,PARA EL RECUERDO
FIGARI CARLOS,FIGARI-DO REYES,13,PARA EL RECUERDO
"PEDEVILLA, RICARDO",A BAILARLO (1950 -- 1953),21,PARA ELLA
"DEL PIANO, EDUARDO","DEL PIANO, EDUARDO (1951/1980)",14,PARA FLOREARSE
"ROTUNDO, FRANCISCO","ROTUNDO, PARA RECORDARLO",9,PARA FLOREARSE
"FRESEDO, OSVALDO",DE UN TIEMPO QUE SE FUE,14,PARA LUCIRCE
FRANCINI-PONTIER,VOLUMEN 3,15,PARA LUCIRSE
FRANCINI-PONTIER,HOMENAJE II,7,PARA LUCIRSE
FRANCINI-PONTIER,INSTRUMENTAL-1,11,PARA LUCIRSE
FRANCINI-PONTIER,INSTRUMENTAL-1,11,PARA LUCIRSE
FRANCINI-PONTIER,INSTRUMENTAL-1,11,PARA LUCIRSE
FRESEDO OSVALDO,LOS MEJORES INSTRUMENTALES,1,PARA LUCIRSE
TROILO ANIBAL,VOLUMEN 9,1,PARA LUCIRSE
"TROILO, ANIBAL",BIEN MILONGA VOL 01,1,PARA LUCIRSE
"DEMARE, LUCIO",AL COMPAS DE UN TANGO 1931998,19,PARA MI ES IGUAL
GARCIA JOSE,LOS ZORROS GRISES,9,PARA NEGROS SOLAMENTE
"CALO, MIGUEL","CALO, MIGUEL Y LAS ESTRELLAS",6,PARA OSMAR MADERNA
TROILO ANIBAL,VOLUMEN 22,11,PARA PODER VOLVER
BASSO JOSE,JOSE BASSO.SUS EXITOS CON OSCAR FERRARI,19,PARA QUE VIVIR ASI
DONATO EDGARDO,LOS MEJORES INSTRUMENTALES,14,PARA QUE
"FEDERICO, DOMINGO",YUYO VERDE (1944/1948),12,PARA QUE TE QUIERO TANTO
CLAUSI GABRIEL,COL 5019,11,PARA QUÉ TE QUIERO TANTO
CLAUSI GABRIEL,COL 5019,11,PARA QUÉ TE QUIERO TANTO
CLAUSI GABRIEL,COL 5019,11,PARA QUÉ TE QUIERO TANTO
DI SARLI CARLOS,PRIMERA EPOCA,16,PARA QUE TE QUIERO TANTO
"DI SARLI, CARLOS",COLECC. 78 RPM 1940 - 1947,13,PARA QUE TE QUIERO TANTO
GOBBI ALFREDO,VOLUMEN 2,20,PARA QUE VIVIR ASI
"PEDEVILLA, RICARDO",A BAILARLO 1950 -- 1953),18,PARA QUE VIVIR ASI
"ROTUNDO, FRANCISCO","ROTUNDO, PARA RECORDARLO",18,PARA RECORDARLO
CALÓ MIGUEL,COL 5022,15,PARA SIEMPRE
CALÓ MIGUEL,COL 5022,15,PARA SIEMPRE
CALÓ MIGUEL,COL 5022,15,PARA SIEMPRE
CALO MIGUEL,ORQUESTA ESTRELLAS,19,PARA SIEMPRE
"MADERNA, OSMAR","MADERNA, OSMAR 1946---1951",11,PARA TI MADRE
CANARO FRANCISCO,FIRPO-CANARO,12,PARA TI MADRE
"MADERNA, OSMAR","MADERNA, OSMAR VOL. 02 (1947/1949)",19,PARA TI MADRE
DE ANGELIS ALFREDO,PARA USTEDES...,15,PARA USTEDES
DE ANGELIS ALFREDO,LOS MEJORES INSTRUMENTALES,6,PARA USTEDES
RODRIGUEZ ENRIQUE,TANGOS Y RITMOS,17,PARA VOS MAMA
"RODIO, ANTONIO","RODIO, ANTONIO 1943/1944",13,PARECE MENTIRA
CANARO FRANCISCO,CANARO-MAIDA,11,PARECE MENTIRA
CANARO FRANCISCO,LA ROMPEDORA,8,PARQUE PATRICIOS
CANARO FRANSISCO,FRANSISCO CANARO.SUS EXITOS CON ERNESTO FAMA,16,PARQUE PATRICIOS
CHARLO,COL 5012,4,PARQUE PATRICIOS
CHARLO,COL 5012,4,PARQUE PATRICIOS
CHARLO,COL 5012,4,PARQUE PATRICIOS
CHARLO,COL 5012,4,PARQUE PATRICIOS
CHARLO,COL 5012,4,PARQUE PATRICIOS
CHARLO,COL 5012,4,PARQUE PATRICIOS
CHARLO,COL 5012,4,PARQUE PATRICIOS
LOMUTO FRANCISCO,QUE TIEMPO AQUEL,16,PARQUE PATRICIOS
ROSSI CARLOS,HECHO A TANGOS,20,PASACALLE
"MALERBA, RICARDO",A BAILAR,27,PASADO FLORIDO
"D ARIENZO, JUAN",B. BELGRANO -- MAS GRANDE QUE NUNCA,11,PASAJERA
DONATO EDGARDO,SACALE PUNTA,15,PASION CRIOLLA
DONATO EDGARDO,CHIQUE,16,PASION CRIOLLA
"FRESEDO, OSVALDO",DE UN TIEMPO QUE SE FUE,15,PASION INOLVIDABLE
"DE ANGELIS, ALFREDO",TANGOS SENTIMENTALES,3,PASIONAL
CALDARA J.-LESICA R.,TANGO ENTRE AMIGOS,7,PASIONAL
CALO MIGUEL,MIGUEL CALO.DESPUES DE LAS ESTRELLAS,10,PASIONAL
DEMARCO MARIO,SIN TACHA,4,PASIONAL
GIACCONE HUGO,Y SIGO AQUI,10,PASIONAL
PUGLIESE OSVALDO,PASIONAL,2,PASIONAL
SAN ROMAN SIRO,CADA VEZ QUE...,8,PASIONAL
"MADERNA, OSMAR","MADERNA, OSMAR VOL. 02 81947/1949)",15,PASTORA
"DE ANGELIS, ALFREDO","LOS DUOS DE MARTEL, J.--DANTE, C .",5,PASTORA
"MADERNA, OSMAR","MADERNA, OSMAR",9,PASTORA
PUGLIESE OSVALDO,LOS MEJORES INSTRUMENTALES,17,PATA ANCHA
LOMUTO FRANCISCO,QUEJIDOS DE TANGO,10,PATADURA
"PUGLIESE, OSVALDO",INSTRUMENTALES INOLVIDABLES VOL. 2,19,PATETICO
PUGLIESE OSVALDO,LOS MEJORES INSTRUMENTALES,2,PATETICO
TROILO ANIBAL,VOLUMEN 8,8,PATETICO
TROILO ANÍBAL,DAN 4005,7,PATÉTICO
ARTISTAS VARIOS,TEMAS CANTADOS,9,PATIO DE LA MOROCHA
TROILO ANIBAL,VOLUMEN 11,17,PATIO MIO
TROILO ANIBAL,VOLUMEN 18,13,PATIO MIO
"TROILO, ANIBAL",MANO BRAVA VOL. 03,17,PATIO MIO
"VARELA, HECTOR",NOCHES DE CABARET,19,PATIO PORTEÑO
CASTILLO ALBERTO,ALBERTO CASTILLO.TANGOS Y VALSES,7,PATO
ORQUESTA TIPICA VICTOR,BAILARIAS,6,PATO Y NEGRO
"DI SARLI, CARLOS",CON ALMA Y VIDA 1951/53 1951/53,20,PATOTERO SENTIMENTAL (2DA. VERSION)
"FRESEDO, OSVALDO",NOSTALGIA,11,PATOTERO SENTIMENTAL
BASSO JOSE,JOSE BASSO.SUS EXITOS CON OSCAR FERRARI,6,PATOTERO SENTIMENTAL
DI SARLI CARLOS,MILONGA DEL SENTIMIENTO,12,PATOTERO SENTIMENTAL
ORQUESTA GENTE DE TANGO,ORQUESTA SEÑORIAL,8,PATOTERO SENTIMENTAL
OSCAR FERRARI,1949-1960,1,PATOTERO SENTIMENTAL
ARTISTAS VARIOS,TEMAS CANTADOS,7,PATRIA
"PEDEVILLA, RICARDO",A BAILARLO (1950 -- 1953),22,PATRIA
LAURENZ PEDRO,PATRIA MIA,2,PATRIA MIA
LAURENZ PEDRO,VOLUMEN 2,12,PATRIA MIA
"LAURENZ, PEDRO",CREACIONES INOLVIDABLES CON PODESTA Y BERMUDEZ,5,PATRIA MIA
DE ANGELIS ALFREDO,PARA USTEDES...,26,PAVADITA
DE ANGELIS ALFREDO,LOS MEJORES INSTRUMENTALES,14,PAVADITA
DE ANGELIS ALFREDO,INSTRUMENTALES-1,20,PAVADITA
DE ANGELIS ALFREDO,AIETA-MARTINEZ,7,PAVADITA
DE ANGELIS ALFREDO,DAN 4005,24,PAVADITA
DE ANGELIS ALFREDO,DJ-TANGO,13,PAVADITA
BASSO JOSE,JOSE BASSO.SUS EXITOS CON OSCAR FERRARI,7,PAYADA CRIOLLA
SEXTETO MAYOR,PLAZA JULIAN,12,PAYADORA
TROILO ANIBAL,VOLUMEN 20,10,PAYADORA
TROILO ANIBAL,LOS MEJORES INSTRUMENTALES,13,PAYADORA
ORQUESTA TIPICA VICTOR,ACORDATE,20,PAYUCA
ORQUESTA TIPICA VICTOR,SUS PRIMERAS GRABACIONES,19,PEBETA LINDA
BASSO JOSE,LOS MEJORES INSTRUMENTALES,10,PECACHI
ARTISTAS VARIOS,BOLEROS INOLVIDABLES,15,PECADO
FRANCINI-PONTIER,VOLUMEN 4,14,PECADO
FRANCINI-PONTIER,INSTRUMENTAL-2,2,PECADO
FRANCINI-PONTIER,INSTRUMENTAL-2,2,PECADO
CANARO FRANCISCO,BAR EXPOSICION,17,PECADO MORTAL
"CANARO, FRANCISCO",LA MELODIA DE NUESTRO ADIOS 1938,15,PECADO MORTAL
ALONSO OSCAR,EN CARNE PROPIA,12,PEDACITO DE CIELO
CALO MIGUEL,"MIGUEL CALO.SUS EXITOS CON PODESTA,ORTIZ Y BERON",5,PEDACITO DE CIELO
CALO MIGUEL,CUATRO COMPASES,9,PEDACITO DE CIELO
CALÓ MIGUEL,DAN 404,4,PEDACITO DE CIELO
ROSSI CARLOS,HECHO A TANGOS,5,PEDACITO DE CIELO
TROILO ANIBAL,VOLUMEN 2,16,PEDACITO DE CIELO
TROILO ANIBAL,VALSES,15,PEDACITO DE CIELO
BASSO JOSE,LOS MEJORES INSTRUMENTALES,16,PELELE
DEMARIA CARLOS,BRINDIS DE TANGO,8,PELELE
DOMINGUEZ ANGEL,EU 16014,7,PELELE
DOMINGUEZ ANGEL,EU 16014,7,PELELE
GOBBI ALFREDO,VOLUMEN 2,3,PELELE
"MAFFIA, PEDRO","EL PENSAMIENTO/MAFFIA,PEDRO1930/1937",12,PELELE
PUGLIESE OSVALDO,VAYAN SALIENDO,17,PELELE
SALAMANCA FULVIO,ASI FUI YO,3,PELELE
RACCIATTI DONATO,TU CORAZON,17,PEÑA ANDALUZA
VARGAS ANGEL,EL RUISEÑOR DE BUENOS AIRES VOL. 2,13,PENA DE AMOR (SUEÑO DE AMOR)
DEMARE LUCIO,VOLUMEN 2,8,PENA DE AMOR
"DEMARE, LUCIO",COMO SE HACE UN TANGO 1943,6,PENA DE AMOR
FERNANDEZ JORGE ARGENTINO,DOS ESTILOS EN BANDONEON,15,PENA DE AMOR
FIRPO ROBERTO,DE VUELTA AL PAGO,14,PENA GAUCHA
DI SARLI CARLOS,MILONGA DEL SENTIMIENTO,8,PENA MULATA
ORQUESTA GENTE DE TANGO,ORQUESTA SEÑORIAL,7,PENA MULATA
SIMONE MERCEDES,ANTIGUOS TEMAS DE COLECCION,14,PENA MULATA
BASSO JOSE,VOLUMEN 2,11,"PENA, COPA Y TANGO"
OSCAR FERRARI,1949-1960,8,"PENA, COPA Y TANGO"
BASSO JOSE,JOSE BASSO.SUS EXITOS,12,"PENA,COPA Y TANGO"
DONATO EDGARDO,EL HURACAN,11,PENAS
OMAR NELLY,TOMAS RADIALES II,15,PENAS QUE MATAN
FILIBERTO JUAN DE DIOS,RESPONSO MALEVO,14,PENSANDO EN TI
FRESEDO OSVALDO,DE PURO GUAPO,12,PENSANDO EN TI
FRESEDO OSVALDO,NIEBLA DEL RIACHUELO,25,PENUMBRAS
"FRESEDO, OSVALDO",TIGRE VIEJO COLEC. 78 RPM 1933 - 1948 -,6,PENUMBRAS
"FRESEDO, OSVALDO",VUELVES 1937/1939,13,PENUMBRAS
LOMUTO FRANCISCO,QUEJIDOS DE TANGO,24,PENURIAS
OMAR NELLY,TOMAS RADIALES II,13,PEPEL PICADO
"MADERNA, OSMAR","MADERNA, OSMAR",13,PEQUEÑA
"MADERNA, OSMAR","MADERNA, OSMAR VOL. 03 (1949/1951)",1,PEQUEÑA
CALO MIGUEL,"MIGUEL CALO.SUS EXITOS CON PODESTA,ORTIZ Y BERON",3,PERCAL
CALO MIGUEL,CUATRO COMPASES,20,PERCAL
CALÓ MIGUEL,COL 5006,13,PERCAL
"CALO, MIGUEL",CUANDO TALLAN LOS RECUERDOS 1943,5,PERCAL
TROILO ANIBAL,VOLUMEN 3,6,PERCAL
BASSO JOSE,JOSE BASSO.CANTAN FIORENTINO,7,PERDON VIEJITA
DEL PIANO EDUARDO,DEL BUENOS AIRES DE AYER,4,PERDON VIEJITA
VARGAS ANGEL,COL 5011,13,PERDÓN VIEJITA
"FRESEDO, OSVALDO",NOSTALGIA,13,PERDONAME
ALONSO OSCAR,EN CARNE PROPIA,5,PERDONAME
CHARLO,SUS GRANDES EXITOS,13,PERDONAME
FLORIO ROBERTO,COL 5004,21,PERDÓNAME
FRANCINI-PONTIER,BATC 89227,9,PERDONAME
FRANCINI-PONTIER,1951/1955,16,PERDONAME
OMAR NELLY,TOMAS RADIALES II,7,PERDONAME SEÑOR
LOMUTO FRANCISCO,PERFUME DE MUJER,19,PERFUME DE MUJER
"LOMUTO, FRANCISCO",PERFUME DE MUJER,19,PERFUME DE MUJER
MAGLIO JUAN PACHO,PACHO,6,PERFUME DE MUJER
"MAGLIO, JUAN (PACHO)",ORQ. 201,6,PERFUME DE MUJER
ORQUESTA TIPICA PORTEÑA,SUS ULTIMAS GRABACIONES,4,PERFUME DE MUJER
VALOTTA JOSE,PERFUME DE MUJER,10,PERFUME DE MUJER
"D ARIENZO, JUAN",MUCHO MUCHO,4,PERINGUNDIN
"MAFFIA, PEDRO","JUVENTUD MAFFIA, PEDRO 1929/1930",8,PERLAS NEGRAS
"RODRIGUEZ, ENRIQUE",TEMAS INOLVIDABLES,14,PERO HAY UNA MELENA
"D ARIENZO, JUAN",VIENTO SUR,12,PERO TE SIGO QUERIENDO
"DAGOSTINO, ANGEL",TANGO DE LOS ANGELES,14,PERO YO SE
"TROILO, ANIBAL",DE MUY ADENTRO VOL. 04,8,PERO YO SE
FRESEDO OSVALDO,DE PURO GUAPO,24,PERO YO SE
"FRESEDO, OSVALDO",NOSTALGIA,3,PERO YO SE
MAIZANI AZUCENA,PERO YO SE,15,PERO YO SE
PACHECO HECTOR Y SU ORQUESTA,TANGOS ROMANTICOS,2,PERO YO SE
TROILO ANIBAL,BATC 89188,18,PERO YO SE
VARGAS ANGEL,EL RUISEÑOR DE BUENOS AIRES,11,PERO YO SE
"D ARIENZO, JUAN",MUCHO MUCHO,20,PERO...POBRE DE ELLOS
"FRESEDO, OSVALDO",MILONGUERO VIEJO,8,PERRO E SULKI
"PETRUCELLI, LUIS","PETRUCELLI, LUIS (1928/1931)",7,PESTAÑAS NEGRAS
"FRANCINI, ENRIQUE MARIO",ENRIQUE MARIO FRANCINI,2,PETIT SALON
DONATO EDGARDO,EL HURACAN,14,PETRONILA Y CANDELARIO
LAMARQUE LIBERTAD,LO MEJOR DE...,9,PIANITO DE JUGUETE
"MAFFIA, PEDRO","JUVENTUD MAFFIA, PEDRO 1929/1930",1,PIBA BOBA
DONATO EDGARDO,CHIQUE,2,PIBE PALERMO
DONATO EDGARDO,CORRALES VIEJOS,15,PICAFLOR
"PUGLIESE, OSVALDO",SUS CANTORES DE LOS 50,12,PICANEAO
BIAGI RODOLFO,TANGO Y MILONGA,18,PICANTE
BIAGI RODOLFO,PICANTE,3,PICANTE
BIAGI RODOLFO,DAN 403,15,PICANTE
PIAZZOLLA ASTOR,SINFONIA DE TANGO,1,PICASSO
CANARO FRANSISCO,FRANSISCO CANARO.CANTA ALBERTO ARENAS,10,PICCOLO NAVIO
"BUZON, MANUEL","BUZON, MANUEL",10,PICHON ENAMORADO
FRANCINI-PONTIER,INSTRUMENTALES-2,17,PICHUCO
FRANCINI-PONTIER,VOLUMEN 1,12,PICHUCO
FRANCINI-PONTIER,PONTIER ARMANDO,4,PICHUCO
FRANCINI-PONTIER,INSTRUMENTAL-1,2,PICHUCO
FRANCINI-PONTIER,INSTRUMENTAL-1,2,PICHUCO
FRANCINI-PONTIER,INSTRUMENTAL-1,2,PICHUCO
TROILO ANIBAL,VOLUMEN 20,9,PICHUQUEANDO
ORQ.TIPICA LOS PROVINCIANOS,BARDI AGUSTIN,3,PICO BLANCO
TROILO ANIBAL,VOLUMEN 23,4,PICO BLANCO
VARDARO ELVINO,LOS MEJORES INSTRUMENTALES,14,PICO DE ORO
LAURENZ PEDRO,PATRIA MIA,25,PIEDAD
LAURENZ PEDRO,VOLUMEN 3,17,PIEDAD
"LAURENZ, PEDRO",GRABACIONES OLVIDADAS VOL. 02,9,PIEDAD
"LAURENZ, PEDRO",AMURADO 1944/1953,14,PIEDAD
"MAGLIO, JUAN (PACHO)",SABADO INGLES,11,PIEDAD
PIANA SEBASTIAN,A BAILAR,18,PIEDRA LIBRE
"DE ANGELIS, ALFREDO",CANTAN C. DANTE Y O. LARROCA,5,PIFIA
PIAZZOLLA ASTOR,HOMENAJE II,5,PIGMALION
FIRPO ROBERTO,FIRPO-CANARO,5,PILCHAS BRUJAS
"DI SARLI, CARLOS",TANGUEANDO TE QUIERO,15,PIMIENTA
DOMINGUEZ ANGEL,EU 16014,12,PIMIENTA
DOMINGUEZ ANGEL,EU 16014,12,PIMIENTA
DOMINGUEZ ANGEL,EU 16014,12,PIMIENTA
FRESEDO OSVALDO,LOS MEJORES INSTRUMENTALES,16,PIMIENTA
FRESEDO OSVALDO,TANGO MIO,1,PIMIENTA
FRESEDO OSVALDO,DAN 4005,20,PIMIENTA
LA TUBATANGO,BIEN CANYENGUE,5,PIMIENTA
LAURENZ PEDRO,COL 5004,5,PIMIENTA
MAFFIA PEDRO,COBIAN-FRESEDO,17,PIMIENTA
PEDRO MAFFIA,LOS MEJORES INSTRUMENTALES,18,PIMIENTA
LOMUTO FRANCISCO,QUEJIDOS DE TANGO,18,PIÑATARO
BALCARCE EMILIO,YO SOY MILONGA,3,PINCELADA
CASTILLO ALBERTO,ALBERTO CASTILLO.SUS PRIMEROS EXITOS VOL 1,10,PINCELADA
VARGAS ANGEL,EL RUISEÑOR DE BUENOS AIRES VOL. 2,14,PINGO LINDO
"DAGOSTINO, ANGEL",TANGO DE LOS ANGELES VOL. 3,18,PINTA BLANCA
"CANARO, FRANCISCO",ADIOS JUVENTUD 1933,10,PINTA BRAVA
CANARO FRANSISCO,FRANSISCO CANARO.INSTRUMENTALES DE COLECCION,2,PINTA BRAVA
COBIAN JUAN CARLOS,SHUSHETA,3,PINTA BRAVA
PUGLIESE OSVALDO,CANARO FRANCISCO,12,PINTA BRAVA
BIAGI RODOLFO,PINTA ORILLERA,3,PINTA ORILLERA
CANARO FRANCISCO,RAYERO,7,PIPPERMINT
CANARO FRANCISCO,BAR EXPOSICION,6,PIRINCHO
"CANARO, FRANCISCO",ADIOS JUVENTUD 1933,3,PIRINCHO
"TROILO , ANIBAL",INSTRUMENTAL 1941--1944,18,PIROPOS
TROILO ANIBAL,VOLUMEN 4,17,PIROPOS
TROILO ANIBAL,VOLUMEN 23,18,PIROPOS
TROILO ANIBAL,COBIAN-FRESEDO,4,PIROPOS
LOMUTO FRANCISCO,PERFUME DE MUJER,17,PIRUCHA
"LOMUTO, FRANCISCO",PERFUME DE MUJER,17,PIRUCHA
ÑÑLLPÑ,63337 -2,1,PISTA 01
OCAMPO CARLOS MONTBRUN,PARA CUYO,17,PISTA 17
GOBBI ALFREDO,VOLUMEN 4,18,PISTA 18
OCAMPO CARLOS MONTBRUN,PARA CUYO,18,PISTA 18
