An Annis Aigh,Goran Bregovic,1998,World,Irish Songs,07,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Irish Songs/07 - An Annis Aigh.mp3
Daos-Tro Fisel,Goran Bregovic,1998,World,Irish Songs,08,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Irish Songs/08 - Daos-Tro Fisel.mp3
StorMCry,Goran Bregovic,1998,World,Irish Songs,09,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Irish Songs/09 - StorMCry.mp3
Farewell To Ireland,Goran Bregovic,1998,World,Irish Songs,10,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Irish Songs/10 - Farewell To Ireland.mp3
Marches,Goran Bregovic,1998,World,Irish Songs,11,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Irish Songs/11 - Marches.mp3
A Mhairi Bhoidheach,Goran Bregovic,1998,World,Irish Songs,12,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Irish Songs/12 - A Mhairi Bhoidheach.mp3
Callow Lake,Goran Bregovic,1998,World,Irish Songs,13,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Irish Songs/13 - Callow Lake.mp3
My Home,Goran Bregovic,1998,World,Irish Songs,14,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Irish Songs/14 - My Home.mp3
Lullaby,Goran Bregovic,1998,World,Irish Songs,15,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Irish Songs/15 - Lullaby.mp3
Uvertira,Goran Bregovic,2007,Soundtrack,Karmen With A Happy Ending,01,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Karmen With A Happy End/01 - Uvertira.mp3
Gas Gas,Goran Bregovic,2007,Soundtrack,Karmen With A Happy Ending,02,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Karmen With A Happy End/02 - Gas Gas.mp3
Savatone,Goran Bregovic,2007,Soundtrack,Karmen With A Happy Ending,03,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Karmen With A Happy End/03 - Savatone.mp3
Mashala Mashala,Goran Bregovic,2007,Soundtrack,Karmen With A Happy Ending,04,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Karmen With A Happy End/04 - Mashala Mashala.mp3
Dikh Mo Vast,Goran Bregovic,2007,Soundtrack,Karmen With A Happy Ending,05,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Karmen With A Happy End/05 - Dikh Mo Vast.mp3
Pampur Galbeno,Goran Bregovic,2007,Soundtrack,Karmen With A Happy Ending,06,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Karmen With A Happy End/06 - Pampur Galbeno.mp3
Stop,Goran Bregovic,2007,Soundtrack,Karmen With A Happy Ending,07,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Karmen With A Happy End/07 - Stop.mp3
Ne Siam Kurve Tuke Sijam Prostitutke,Goran Bregovic,2007,Soundtrack,Karmen With A Happy Ending,08,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Karmen With A Happy End/08 - Ne Siam Kurve Tuke Sijam Prostitutke.mp3
Lumia Sitoj I Gurumni,Goran Bregovic,2007,Soundtrack,Karmen With A Happy Ending,09,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Karmen With A Happy End/09 - Lumia Sitoj I Gurumni.mp3
Soske Murseske Manglape Kurva,Goran Bregovic,2007,Soundtrack,Karmen With A Happy Ending,10,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Karmen With A Happy End/10 - Soske Murseske Manglape Kurva.mp3
Focu Di Raggia,Goran Bregovic,2007,Soundtrack,Karmen With A Happy Ending,11,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Karmen With A Happy End/11 - Focu Di Raggia.mp3
Me Sam Devla Romani,Goran Bregovic,2007,Soundtrack,Karmen With A Happy Ending,12,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Karmen With A Happy End/12 - Me Sam Devla Romani.mp3
Koferi,Goran Bregovic,2007,Soundtrack,Karmen With A Happy Ending,13,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Karmen With A Happy End/13 - Koferi.mp3
Bijav,Goran Bregovic,2007,Soundtrack,Karmen With A Happy Ending,14,/media/Orange/Gordon/tmp/=Alternative Tangos/Goran Bregovic/Karmen With A Happy End/14 - Bijav.mp3
