Tango,Quinteto Pirincho,Canaro en París,4-13
Tango,Francisco Canaro,Canaro en París,1927
Tango,Quinteto Pirincho,Canaro en París,4-13
Tango,Francisco Canaro,Canción de olvido,1932
Tango,"Rodolfo Biagi, voc. Carlos Acuña",Canción de rango,1943
Tango,"Ricardo Tanturi, voc. Alberto Castillo",Canción de rango / Pa' que se callen,1942
Tango,"Aníbal Troilo, voc. Alberto Marino",Canción desesperada,1945
Tango,"Miguel Caló, voc. Raúl Iriarte",Canción desesperada,1945
Tango,"Domingo Federico, voc. Carlos Vidal",Canción desesperada,1945
Tango,"Carlos Di Sarli, voc. Roberto Rufino",Canta pajarito,1943
Tango,"Ángel D'Agostino, voc. Ángel Vargas",Cantando olvidaré,1943
Milonga,"Rodolfo Biagi, voc. Jorge Ortiz",Cantando se van las penas,1940
Tango,"Aníbal Troilo, voc. Alberto Marino",Cantando se van las penas,1943
Tango,"Adolfo Carabelli, voc. Simone - Nico",Cantando!,1931
Tango,"Carlos Di Sarli, voc. Roberto Florio",Cantemos corazón,1956
Tango,"Domingo Federico, voc. Hugo Roca",Canto,1950
Tango,"Osvaldo Fresedo, voc. Roberto Ray",Canto de amor,1934
Tango,"Ricardo Tanturi, voc. Enrique Campos",Cantor de barrio,1945
Tango,"Alfredo Gobbi, voc. Jorge Maciel",Canzoneta,1954
Tango,,Cara sucia,
Tango,Carlos Di Sarli,Cara sucia,1957
Tango,"Ángel D'Agostino, voc. Ángel Vargas",Cardo azul,1943
Tango,"Ángel D'Agostino, voc. Ángel Vargas",Caricias,1945
Tango,"Rodolfo Biagi, voc. Carlos Heredia",Caricias,1951
Vals,"Francisco Canaro, voc. Ernesto Famà",Cariño de madre,1932
Milonga,"Juan D'Arienzo, voc. Héctor Mauré",Carnavalera,1941
Milonga,"Juan D'Arienzo, voc. Héctor Mauré",Carnavalera,1941
Tango,"Rodolfo Biagi, voc. Jorge Ortiz",Carrillón de la merced,1941
Tango,Julio De Caro,Carro viejo,1928
Tango,"Francisco Canaro, voc. Ada Falcón y Charlo",Casas viejas,1935
Tango,"Osvaldo Fresedo, voc. Roberto Díaz",Casate conmigo,1935
Tango,"Carlos Di Sarli, voc. Roberto Rufino",Cascabelito,1941
Vals,"Juan D'Arienzo, voc. Alberto Echagüe",Castigo,1939
Tango,Carlos Di Sarli,Catamarca,1940
Tango,"Rodolfo Biagi, voc. Jorge Ortiz",Catorce primaveras,1942
Tango,Osvaldo Pugliese,Catuzo,1949
