A la luz del lucero,Z0999901138,tango,Francisco Canaro,-,1930-10-08,03:11
A la madrugada,,candombe,,-choir-,,02:30
A la manera sudamericana,T0709240970,rumba,Francisco Lomuto,-,1939-12-07,02:40
A la mar se fue,T0370000466,vals,Orquesta Típica Victor,"Carlos Lafuente, Luis Díaz",1932-12-28,02:57
A la memoria de Carlos Gardel,,?,,Carlos Gardel,,
A la mujer argentina,T0370402008,tango,José Basso,Floreal Ruíz,1956-07-26,03:13
A la mujer argentina,T0370402008,tango,Juan Sánchez Gorio,Luis Mendoza,1955,02:52
A la orden,,tango,Sexteto Mayor,,,03:05
A la orilla de la mar,,fado,Edgardo Donato,Luis Díaz,1930,
A la orillita del río,,bulerias,,,,03:18
A la parrilla,Z0000010351,tango,Aníbal Troilo,-,1949-06-30,02:26
A la parrilla,Z0000010351,tango,Carlos Figari,-,1955,02:14
A la parrilla,Z0000010351,tango,Osvaldo Fresedo,-,1950-11-29,02:45
A la sombra,T0370291863,vals,Adolfo Pérez,-,1954-12-06,02:36
A la sombra y después,,?,,,,04:52
A la vuelta,,tango,,,,
A las cinco en La Giralda,Z0999901972,tango,Los cosos de al lao,-,,03:44
A las cinco en La Giralda,Z0999901972,tango,Solo Tango orquesta,-,,
A las dos de la mañana,Z0000817732,tango,Osvaldo Fresedo,-,1925--1928,
A las estrellas,T0370593977,tango,Miguel Caló,-,1963-06-07,02:48
A las estrellas,T0370593977,tango,Miguel Caló,-,1964,
A las orquestas,,tango,,,,04:06
A las orquestas (bonus track),,tango,,,,07:09
A las siete en el café,Z0000059596,tango,Ángel D'Agostino,Raúl Aldao,1943-08-10,03:10
A las siete en el café,Z0000059596,tango,Miguel Caló,Jorge Ortiz,1943-01-20,03:09
A las tres de la mañana,T0370028764,vals,Enrique Rodríguez,-,1946-03-22,03:19
A lo gaucho,Z0000025424,tango,Francisco Canaro,Charlo,1929-03-13,02:52
A lo gaucho,Z0000025424,tango,-unspecified guitars-,Ignacio Corsini,1928--1929,02:44
A lo lejos,T0370085952,vals,Francisco Canaro,Roberto Maida,1930-07-19,03:00
A lo macho,T0370969177,?,,Roberto Flores,,02:37
A lo Magdalena,T0373935444,tango,Daniel Melingo,Cristóbal Repetto,,02:36
"A lo mejor, quién te dice?",T0370191573,tango,José García,Alfredo Rojas,1942-10-27,02:48
A lo Pirincho,T0370890995,milonga,Domingo Federico,-,1966--1968,02:26
A lo Pirincho,T0370890995,milonga,Domingo Federico,-,1968,02:29
A los amigos,T0370163317,tango,Aníbal Troilo,,,
A los amigos,T0370163317,tango,Armando Pontier,,,03:48
A los amigos,T0370163317,tango,Armando Pontier,-,,03:02
A los amigos,T0370163317,tango,"Enrique Francini, Armando Pontier",-,1950-06-01,03:35
A los amigos,T0370163317,tango,Bachicha,-,1950,02:40
A los amigos,T0370163317,tango,Osvaldo Pugliese,-,1960-07-15,03:10
